file,date,Label,ID_TUBE,Treatment,Landscape,Replicate,Size,Composition,indiv_per_frame,indiv_per_ul,bioarea_per_frame,bioarea_per_ul,major_mean,major_sd,minor_mean,minor_sd,gross_speed_mean,gross_speed_sd,net_speed_mean,net_speed_sd,sd_turning_mean,Rot,Spi,Ble,Pca,Col,Chi,Tet,Other
sample_00001,16-05-02,1,Lc,Isolated,Blue,A,NA,mixture,141.232,4.105581395,37210.59,1081.703198,39.52119823,52.72349162,20.85093687,13.81929949,204.9850979,106.1207329,120.795444,106.394756,0.674903475,0.199302326,0.126976744,0.11255814,0.041395349,0.034651163,2.120465116,1.408604651,0.061627907
sample_00002,16-05-02,2,Lc,Isolated,Blue,A,NA,mixture,91.24,2.652325581,24336.5796,707.4587093,36.49705427,40.25293743,21.08389876,10.51387071,212.8869437,115.6156288,123.9526506,117.9323271,0.652771084,0.074418605,0.094418605,0.029069767,0.015581395,0.143488372,1.34255814,0.936511628,0.01627907
sample_00003,16-05-02,3,Ld,Isolated,Blue,B,NA,mixture,96.808,2.814186047,26151.4656,760.2170233,42.56633996,42.70409564,23.20169293,12.71424685,206.530248,124.5059677,103.5649763,107.1536923,0.786398104,0.248372093,0.069534884,0.087906977,0.063953488,0.090232558,1.34372093,0.873953488,0.036511628
sample_00004,16-05-02,4,Ld,Isolated,Blue,B,NA,mixture,121.04,3.518604651,37770.1056,1097.968186,46.54370946,53.63489829,22.89927606,11.7692726,218.3749389,145.8582243,119.5603817,137.1432953,0.729961832,0.360930233,0.182790698,0.02627907,0.090697674,0.204651163,1.803255814,0.821162791,0.028837209
sample_00005,16-05-02,5,Le,Isolated,Blue,C,NA,mixture,76.312,2.218372093,19561.662,568.6529651,37.58666508,40.02811455,22.49378259,11.36911706,261.0881729,136.7292391,137.9165909,120.4796025,0.598787879,0.049534884,0.041860465,0.05372093,0.02255814,0.117209302,0.870465116,1.036511628,0.026511628
sample_00006,16-05-02,6,Le,Isolated,Blue,C,NA,mixture,131,3.808139535,27826.0272,808.8961395,35.17925209,32.52437415,20.76761672,10.38709846,237.4184745,139.0392179,129.4185887,119.7741459,0.634072581,0.286046512,0.105116279,0,0.028139535,0.127906977,1.58,1.665813953,0.015116279
sample_00007,16-05-02,7,Lf,Isolated,Blue,D,NA,mixture,83.568,2.429302326,24900.7932,723.8602674,44.25292232,58.36605354,21.43218261,11.35691292,225.2857436,140.6781464,127.4079651,145.49509,0.719186047,0.050930233,0.112093023,0.087209302,0.01255814,0.130232558,1.263488372,0.758837209,0.013953488
sample_00008,16-05-02,8,Lf,Isolated,Blue,D,NA,mixture,75.912,2.206744186,12012.2676,349.1938256,32.47196901,35.57173224,19.01090503,7.40934702,210.878778,112.4453339,90.84090909,101.8129113,0.722237762,0.040465116,0.038604651,0,0.004418605,0.056744186,1.206744186,0.859767442,0
sample_00009,16-05-02,9,Lg,Connected,Blue,A,NA,mixture,97.048,2.821162791,25519.1472,741.8356744,37.73193207,36.38597104,21.33958106,10.95135067,219.5315107,140.2244421,101.81325,130.2766987,0.72485,0.249534884,0.061860465,0.028837209,0.03,0.226976744,1.388837209,0.816976744,0.018139535
sample_00010,16-05-02,10,Lg,Connected,Blue,A,NA,mixture,98.384,2.86,17485.0812,508.2872442,30.31631038,30.33564425,18.28382484,8.575849905,199.9272506,116.6681505,84.53064935,108.2506486,0.727575758,0.118139535,0.059534884,0,0,0.118139535,1.742093023,0.822093023,0
sample_00011,16-05-02,11,Lh,Connected,Blue,B,NA,mixture,74.592,2.168372093,21298.5936,619.1451628,48.50505495,54.16920825,23.32585401,11.52243335,249.9548531,130.6773889,138.7945205,134.0373489,0.610136986,0.147674419,0.118837209,0.009534884,0,0.087674419,0.826046512,0.949534884,0.029069767
sample_00012,16-05-02,12,Lh,Connected,Blue,B,NA,mixture,73.192,2.127674419,27646.2396,803.6697558,47.15641678,55.82517747,23.37394359,12.29349612,275.1307108,185.15502,146.4342958,168.5091513,0.594084507,0.097209302,0.211395349,0.004651163,0.034186047,0.174651163,0.701395349,0.901162791,0.003023256
