Date	Label	ID_TUBE	Treatment	Landscape	Replicate	Size	Count	Volume.uL	Events.uL	Mean.FL1A	Mean.FL3A	CV.FL1A	CV.FL3A	Mean.FSCA	Mean.SSCA	CV.FSCA	CV.SSCA
20160502	1	Lc.pool	Isolated	Blue	A	NA	2790.00	50.00	56.00	77873.15	4188.45	105.54%	102.23%	8188.00	4106.21	808.95%	924.80%
20160502	2	Lc.pool	Isolated	Blue	A	NA	2621.00	50.00	52.00	77778.88	4320.45	97.32%	126.02%	5138.01	2731.77	635.36%	599.91%
20160502	3	Ld.pool	Isolated	Blue	B	NA	2370.00	50.00	47.00	71811.21	4273.28	106.43%	108.54%	4417.24	2124.64	415.89%	194.60%
20160502	4	Ld.pool	Isolated	Blue	B	NA	3647.00	50.00	73.00	80437.98	4404.28	114.13%	120.79%	4743.80	2534.01	438.37%	436.99%
20160502	5	Le.pool	Isolated	Blue	C	NA	2832.00	50.00	57.00	83739.59	4870.38	119.15%	123.76%	6188.72	3007.95	503.23%	404.06%
20160502	6	Le.pool	Isolated	Blue	C	NA	4895.00	50.00	98.00	85476.49	4599.76	95.15%	98.75%	5295.72	2600.36	338.29%	202.83%
20160502	7	Lf.pool	Isolated	Blue	D	NA	4309.00	50.00	86.00	86296.11	4801.69	114.84%	115.96%	5412.07	2599.47	337.09%	271.01%
20160502	8	Lf.pool	Isolated	Blue	D	NA	1311.00	50.00	26.00	91984.80	5291.75	127.41%	141.28%	8183.92	4206.37	455.41%	625.80%
20160502	9	Lg.pool	Connected	Blue	A	NA	4272.00	50.00	85.00	82340.48	4777.42	133.62%	145.88%	5531.65	2985.91	337.36%	434.54%
20160502	10	Lg.pool	Connected	Blue	A	NA	4383.00	50.00	88.00	82759.91	4896.63	133.86%	127.50%	5519.68	2812.22	372.67%	303.82%
20160502	11	Lh.pool	Connected	Blue	B	NA	3985.00	50.00	80.00	77330.80	4838.96	94.12%	101.65%	5041.25	2964.31	291.60%	361.33%
20160502	12	Lh.pool	Connected	Blue	B	NA	1029.00	50.00	21.00	79421.61	4469.81	126.30%	135.68%	7410.79	2678.96	605.54%	340.12%
20160502	13	Li.pool	Connected	Blue	C	NA	3121.00	50.00	62.00	73202.23	4248.16	89.05%	91.26%	4886.81	2794.70	446.69%	571.24%
20160502	14	Li.pool	Connected	Blue	C	NA	4116.00	50.00	82.00	68631.57	4364.49	118.69%	106.59%	3921.33	2037.10	214.40%	191.53%
20160502	15	Lj.pool	Connected	Blue	D	NA	3373.00	50.00	67.00	74732.55	4275.16	129.13%	122.86%	4347.44	2150.26	428.48%	330.84%
20160502	16	Lj.pool	Connected	Blue	D	NA	4246.00	50.00	85.00	72900.81	4393.54	112.20%	109.60%	4568.88	2331.16	476.50%	357.03%
20160502	1	Lc.pool	Isolated	Green	A	NA	2790.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20160502	2	Lc.pool	Isolated	Green	A	NA	2621.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20160502	3	Ld.pool	Isolated	Green	B	NA	2370.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20160502	4	Ld.pool	Isolated	Green	B	NA	3647.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20160502	5	Le.pool	Isolated	Green	C	NA	2832.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20160502	6	Le.pool	Isolated	Green	C	NA	4895.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20160502	7	Lf.pool	Isolated	Green	D	NA	4309.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20160502	8	Lf.pool	Isolated	Green	D	NA	1311.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20160502	9	Lg.pool	Connected	Green	A	NA	4272.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20160502	10	Lg.pool	Connected	Green	A	NA	4383.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20160502	11	Lh.pool	Connected	Green	B	NA	3985.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20160502	12	Lh.pool	Connected	Green	B	NA	1029.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20160502	13	Li.pool	Connected	Green	C	NA	3121.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20160502	14	Li.pool	Connected	Green	C	NA	4116.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20160502	15	Lj.pool	Connected	Green	D	NA	3373.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20160502	16	Lj.pool	Connected	Green	D	NA	4246.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20160502	17	Eug	Monoculture	Monoculture	1	10	11054.00	50.00	221.00	70497.22	3676.41	116.51%	128.17%	1873.01	1684.22	276.99%	202.00%
20160502	18	Eug	Monoculture	Monoculture	2	10	9358.00	50.00	187.00	61800.56	3191.78	116.53%	132.29%	1919.26	1604.21	277.47%	237.19%
20160502	19	Tet	Monoculture	Monoculture	1	10	3364.00	50.00	67.00	80829.09	4406.79	104.38%	119.20%	4363.35	2457.01	587.63%	423.43%
20160502	20	Tet	Monoculture	Monoculture	2	10	5483.00	50.00	110.00	86119.66	4844.07	122.38%	135.56%	3972.86	2508.74	400.14%	239.76%
20160502	21	Chi	Monoculture	Monoculture	1	10	923.00	50.00	18.00	84320.32	4772.53	124.01%	135.72%	3605.82	4026.30	222.19%	182.25%
20160502	22	Chi	Monoculture	Monoculture	2	10	936.00	50.00	19.00	86203.79	5079.29	152.71%	173.74%	4491.27	4464.75	431.17%	293.22%
20160502	23	Col	Monoculture	Monoculture	1	10	536.00	50.00	11.00	104075.81	5923.50	208.89%	191.20%	6623.01	2653.11	450.52%	337.16%
20160502	24	Col	Monoculture	Monoculture	2	10	405.00	50.00	8.00	98711.44	5718.74	193.40%	198.69%	7075.29	10927.92	607.97%	1718.29%
20160502	25	Pca	Monoculture	Monoculture	1	10	3621.00	50.00	72.00	66678.08	3548.78	132.07%	121.22%	4440.23	2041.46	916.17%	887.07%
20160502	26	Pca	Monoculture	Monoculture	2	10	4393.00	50.00	88.00	65711.18	3383.50	121.71%	118.26%	3345.75	1467.78	393.10%	205.20%
20160502	27	Rot	Monoculture	Monoculture	1	10	9951.00	50.00	199.00	65466.90	3296.96	82.42%	84.74%	2206.39	1537.07	419.20%	253.17%
